TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,MONTH_NAME,TIME_OF_DAY
Mischief,2025,5,26,3,38,5X WATER ST,Downtown,492340.9258,5459004.113,May,Evening/Night
Mischief,2025,7,26,16,37,5X WATER ST,Downtown,492340.9258,5459004.113,July,Afternoon
Mischief,2025,10,31,20,51,5X WATER ST,Downtown,492340.9258,5459004.113,October,Evening/Night
Mischief,2025,9,16,9,0,5XX ABBOTT ST,Downtown,492169.9395,5458667.7581,September,Morning
Mischief,2025,10,5,19,39,5XX ABBOTT ST,Downtown,492169.9395,5458667.7581,October,Evening/Night
Mischief,2025,5,23,9,30,5XX ABBOTT ST,Downtown,492170.6225,5458696.6611,May,Morning
Mischief,2025,9,10,19,0,5XX ABBOTT ST,Downtown,492170.6225,5458696.6611,September,Evening/Night
Mischief,2025,9,17,14,18,5XX ABBOTT ST,Downtown,492170.6225,5458696.6611,September,Afternoon
Mischief,2025,8,8,22,31,5XX ABBOTT ST,Downtown,492178.9798,5458663.2371,August,Evening/Night
Mischief,2025,2,28,3,15,5XX ALEXANDER ST,Strathcona,493223.2816,5459025.5268,February,Evening/Night
Mischief,2025,6,15,12,25,5XX ALEXANDER ST,Strathcona,493225.8969,5459025.4326,June,Afternoon
Mischief,2025,8,16,22,10,5XX ALEXANDER ST,Strathcona,493244.7273,5459024.7545,August,Evening/Night
Mischief,2025,9,1,19,0,5XX ALEXANDER ST,Strathcona,493244.7273,5459024.7545,September,Evening/Night
Mischief,2025,3,6,3,20,5XX ATLANTIC ST,Strathcona,493241.9879,5458121.5251,March,Evening/Night
Mischief,2025,10,5,4,5,5XX BEATTY ST,Downtown,492107.4761,5458713.2866,October,Morning
Mischief,2025,10,5,20,45,5XX BEATTY ST,Downtown,492110.5044,5458716.3533,October,Evening/Night
Mischief,2025,10,6,22,4,5XX BEATTY ST,Downtown,492110.5044,5458716.3533,October,Evening/Night
Mischief,2025,2,21,17,2,5XX BURRARD ST,Downtown,491429.1394,5459314.2023,February,Afternoon
Mischief,2025,1,12,12,35,5XX BUTE ST,Downtown,491000.5333,5459487.7881,January,Afternoon
Mischief,2025,10,2,0,0,5XX CARDERO ST,Downtown,490580.7738,5459849.3853,October,Evening/Night
Mischief,2025,7,22,13,25,5XX CARDERO ST,Downtown,490643.4924,5459897.5579,July,Afternoon
Mischief,2025,11,17,18,0,5XX CARRALL ST,Downtown,492400.4664,5458569.8473,November,Evening/Night
Mischief,2025,12,19,17,51,5XX CARRALL ST,Downtown,492403.2743,5458630.6328,December,Afternoon
Mischief,2025,12,17,16,30,5XX CARRALL ST,Downtown,492408.0734,5458535.4988,December,Afternoon
Mischief,2025,12,21,18,16,5XX CARRALL ST,Downtown,492408.0734,5458535.4988,December,Evening/Night
Mischief,2025,10,14,18,12,5XX CARRALL ST,Downtown,492412.9195,5458640.8895,October,Evening/Night
Mischief,2025,9,16,13,6,5XX CASSIAR ST,Hastings-Sunrise,497760.9939,5458563.6248,September,Afternoon
Mischief,2025,5,11,14,21,5XX CLARK DR,Grandview-Woodland,494390.2973,5458538.7239,May,Afternoon
Mischief,2025,4,2,5,16,5XX COLUMBIA ST,Downtown,492552.9247,5458566.3418,April,Morning
Mischief,2025,7,6,17,4,5XX COLUMBIA ST,Downtown,492552.9247,5458566.3418,July,Afternoon
Mischief,2025,9,5,9,14,5XX COLUMBIA ST,Downtown,492552.9247,5458566.3418,September,Morning
Mischief,2025,12,29,14,45,5XX COLUMBIA ST,Downtown,492562.0484,5458565.696,December,Afternoon
Mischief,2025,7,10,3,30,5XX DUNSMUIR ST,Downtown,491661.7002,5458873.0284,July,Evening/Night
Mischief,2025,3,3,7,4,5XX DUNSMUIR ST,Downtown,491668.5076,5458866.1895,March,Morning
Mischief,2025,4,27,9,45,5XX DUNSMUIR ST,Downtown,491669.2255,5458852.507,April,Morning
Mischief,2025,4,29,2,10,5XX DUNSMUIR ST,Downtown,491669.2255,5458852.507,April,Evening/Night
Mischief,2025,5,31,5,4,5XX DUNSMUIR ST,Downtown,491675.7062,5458858.9579,May,Morning
Mischief,2025,4,9,16,30,5XX E 11TH AVE,Mount Pleasant,493235.0198,5456431.6437,April,Afternoon
Mischief,2025,4,17,12,20,5XX E 13TH AVE,Mount Pleasant,493321.6326,5456238.4288,April,Afternoon
Mischief,2025,5,20,21,56,6XX E CORDOVA ST,Strathcona,493355.2763,5458819.4472,May,Evening/Night
Mischief,2025,3,25,1,30,6XX E GEORGIA ST,Strathcona,493387.7504,5458415.1351,March,Evening/Night
Mischief,2025,8,14,15,33,6XX E HASTINGS ST,Strathcona,493354.526,5458715.093,August,Afternoon
Mischief,2025,10,29,1,2,6XX E HASTINGS ST,Strathcona,493398.7299,5458723.0599,October,Evening/Night
Mischief,2025,10,30,17,0,6XX E HASTINGS ST,Strathcona,493455.3749,5458712.4,October,Afternoon
Mischief,2025,6,7,16,42,6XX EXPO BLVD,Downtown,492029.0574,5458399.6117,June,Afternoon
Mischief,2025,1,8,0,0,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,January,Evening/Night
Mischief,2025,1,21,0,0,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,January,Evening/Night
Mischief,2025,3,8,23,0,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,March,Evening/Night
Mischief,2025,3,14,20,33,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,March,Evening/Night
Mischief,2025,4,22,17,15,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,April,Afternoon
Mischief,2025,9,9,14,39,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,September,Afternoon
Mischief,2025,10,21,10,35,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,October,Morning
Mischief,2025,12,1,0,0,6XX EXPO BLVD,Downtown,492080.5773,5458435.4767,December,Evening/Night
Mischief,2025,4,4,7,15,6XX EXPO BLVD,Downtown,492082.9142,5458437.1036,April,Morning
Mischief,2025,10,12,7,32,6XX EXPO BLVD,Downtown,492082.9142,5458437.1036,October,Morning
Mischief,2025,7,30,21,27,6XX FELLOWES ST,Hastings-Sunrise,498234.3032,5459905.3703,July,Evening/Night
Mischief,2025,7,25,9,0,6XX GORE AVE,Strathcona,492935.9097,5458523.5246,July,Morning
Mischief,2025,5,4,14,5,6XX GORE AVE,Strathcona,492937.8256,5458501.5203,May,Afternoon
Mischief,2025,3,19,4,3,6XX GRANVILLE ST,Downtown,491445.9138,5458896.4061,March,Morning
Mischief,2025,6,10,13,58,6XX GRANVILLE ST,Downtown,491461.7184,5458912.3288,June,Afternoon
Mischief,2025,6,22,5,35,6XX GRANVILLE ST,Downtown,491516.6268,5458980.6038,June,Morning
Mischief,2025,7,5,1,58,6XX GRANVILLE ST,Downtown,491516.6268,5458980.6038,July,Evening/Night
Mischief,2025,12,31,3,38,6XX GRANVILLE ST,Downtown,491516.6268,5458980.6038,December,Evening/Night
Mischief,2025,1,16,10,14,6XX GRANVILLE ST,Downtown,491532.4734,5458983.586,January,Morning
Mischief,2025,9,8,3,6,6XX HAMILTON ST,Downtown,491780.0995,5458666.3543,September,Evening/Night
Mischief,2025,3,30,18,45,6XX HAMILTON ST,Downtown,491814.2011,5458700.6777,March,Evening/Night
Mischief,2025,6,13,18,40,6XX HAMILTON ST,Downtown,491814.2011,5458700.6777,June,Evening/Night
Mischief,2025,2,2,20,30,6XX HAMILTON ST,Downtown,491816.7487,5458703.2412,February,Evening/Night
Mischief,2025,4,4,13,36,6XX HEATLEY AVE,Strathcona,493481.6121,5458505.614,April,Afternoon
Mischief,2025,4,10,14,43,6XX HEATLEY AVE,Strathcona,493481.6121,5458505.614,April,Afternoon
Mischief,2025,1,12,11,55,6XX HELMCKEN ST,Downtown,491002.0063,5458316.321,January,Morning
Mischief,2025,7,1,10,55,6XX HELMCKEN ST,Downtown,491003.2909,5458328.1514,July,Morning
Mischief,2025,9,27,16,48,6XX HELMCKEN ST,Downtown,491005.4732,5458325.8931,September,Afternoon
Mischief,2025,2,23,16,10,6XX HOMER ST,Downtown,491676.3933,5458702.8347,February,Afternoon
Mischief,2025,5,1,11,23,6XX HOMER ST,Downtown,491676.3933,5458702.8347,May,Morning
Mischief,2025,7,2,9,55,6XX HOMER ST,Downtown,491676.3933,5458702.8347,July,Morning
Mischief,2025,8,15,18,20,6XX HOMER ST,Downtown,491676.3933,5458702.8347,August,Evening/Night
Mischief,2025,9,1,10,0,6XX HOMER ST,Downtown,491676.3933,5458702.8347,September,Morning
Mischief,2025,11,11,20,45,6XX HOMER ST,Downtown,491676.3933,5458702.8347,November,Evening/Night
Mischief,2025,2,7,22,14,6XX HOMER ST,Downtown,491743.9877,5458771.2913,February,Evening/Night
Mischief,2025,2,4,11,0,6XX HORNBY ST,Downtown,491334.1965,5459068.6697,February,Morning
Mischief,2025,3,31,19,7,6XX HORNBY ST,Downtown,491390.2582,5459124.4651,March,Evening/Night
Mischief,2025,9,15,17,20,6XX HOWE ST,Downtown,491375.7776,5458984.7639,September,Afternoon
Mischief,2025,1,17,8,17,6XX HOWE ST,Downtown,491427.1726,5459035.0012,January,Morning
Mischief,2025,4,6,0,27,6XX HOWE ST,Downtown,491438.5449,5459033.3305,April,Evening/Night
Mischief,2025,12,5,16,40,6XX JACKSON AVE,Strathcona,493191.7843,5458433.8711,December,Afternoon
Mischief,2025,5,15,19,0,6XX JACKSON AVE,Strathcona,493203.2007,5458511.424,May,Evening/Night
Mischief,2025,10,11,22,0,6XX KEEFER ST,Strathcona,493347.1272,5458507.6379,October,Evening/Night
Mischief,2025,11,9,11,56,6XX KEEFER ST,Strathcona,493347.1272,5458507.6379,November,Morning
Mischief,2025,3,19,11,29,6XX KEEFER ST,Strathcona,493347.3425,5458516.7794,March,Morning
Mischief,2025,10,28,0,0,6XX KEEFER ST,Strathcona,493426.3106,5458505.7764,October,Evening/Night
Mischief,2025,11,15,17,30,6XX KEEFER ST,Strathcona,493426.3106,5458505.7764,November,Afternoon
Mischief,2025,3,5,20,40,6XX LAKEWOOD DR,Grandview-Woodland,495504.5031,5458440.8258,March,Evening/Night
Mischief,2025,2,27,4,48,6XX MAIN ST,Downtown,492739.0511,5458443.3758,February,Morning
Mischief,2025,1,30,11,45,6XX MAIN ST,Downtown,492739.2003,5458449.2196,January,Morning
Mischief,2025,9,24,12,36,5XX HAMILTON ST,Downtown,491898.4912,5458798.7647,September,Afternoon
Mischief,2025,10,22,19,10,5XX HAMILTON ST,Downtown,491898.4912,5458798.7647,October,Evening/Night
Mischief,2025,12,4,11,29,5XX HAMILTON ST,Downtown,491898.4912,5458798.7647,December,Morning
Mischief,2025,1,3,4,23,5XX HAMILTON ST,Downtown,491909.9642,5458810.3507,January,Morning
Mischief,2025,1,3,4,30,5XX HAMILTON ST,Downtown,491909.9642,5458810.3507,January,Morning
Mischief,2025,7,15,16,0,5XX HAMILTON ST,Downtown,491909.9642,5458810.3507,July,Afternoon
Mischief,2025,8,21,20,28,5XX HAMILTON ST,Downtown,491917.2573,5458817.7151,August,Evening/Night
Mischief,2025,10,15,12,30,5XX HAMILTON ST,Downtown,491927.9048,5458815.4717,October,Afternoon
Mischief,2025,10,3,9,21,5XX HEATLEY AVE,Strathcona,493489.9359,5458608.1906,October,Morning
Mischief,2025,3,17,23,19,5XX HELMCKEN ST,Downtown,491069.5995,5458251.6407,March,Evening/Night
Mischief,2025,8,8,14,58,5XX HOMER ST,Downtown,491795.2259,5458836.4744,August,Afternoon
Mischief,2025,10,7,23,0,5XX HOMER ST,Downtown,491857.7612,5458887.0948,October,Evening/Night
Mischief,2025,1,24,13,30,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,January,Afternoon
Mischief,2025,1,24,18,0,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,January,Evening/Night
Mischief,2025,1,30,15,0,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,January,Afternoon
Mischief,2025,3,6,18,0,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,March,Evening/Night
Mischief,2025,3,15,16,56,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,March,Afternoon
Mischief,2025,4,6,8,25,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,April,Morning
Mischief,2025,4,6,15,45,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,April,Afternoon
Mischief,2025,4,6,19,0,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,April,Evening/Night
Mischief,2025,4,8,19,45,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,April,Evening/Night
Mischief,2025,5,4,15,30,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,May,Afternoon
Mischief,2025,6,1,11,50,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,June,Morning
Mischief,2025,7,4,11,0,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,July,Morning
Mischief,2025,8,7,10,30,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,August,Morning
Mischief,2025,9,16,18,15,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,September,Evening/Night
Mischief,2025,11,14,21,28,5XX HORNBY ST,Downtown,491449.6765,5459186.2905,November,Evening/Night
Mischief,2025,4,19,21,0,5XX HORNBY ST,Downtown,491450.1033,5459186.7369,April,Evening/Night
Mischief,2025,2,7,5,56,5XX HOWE ST,Downtown,491470.5525,5459077.6294,February,Morning
Mischief,2025,6,21,21,0,5XX HOWE ST,Downtown,491517.5106,5459124.629,June,Evening/Night
Mischief,2025,6,23,14,0,5XX HOWE ST,Downtown,491517.5106,5459124.629,June,Afternoon
Mischief,2025,9,2,10,6,5XX HOWE ST,Downtown,491572.9791,5459167.2092,September,Morning
Mischief,2025,1,4,1,40,5XX HOWE ST,Downtown,491577.5881,5459171.8223,January,Evening/Night
Mischief,2025,8,24,23,46,5XX KEEFER ST,Strathcona,493202.8884,5458511.8726,August,Evening/Night
Mischief,2025,10,17,9,0,5XX KEEFER ST,Strathcona,493205.7201,5458511.7887,October,Morning
Mischief,2025,6,3,22,0,5XX KEEFER ST,Strathcona,493265.3515,5458510.0204,June,Evening/Night
Mischief,2025,3,5,5,18,5XX KINGSWAY AVE,Mount Pleasant,493167.3237,5456153.1208,March,Morning
Mischief,2025,6,6,22,0,5XX LILLOOET ST,Hastings-Sunrise,497170.1303,5458536.8072,June,Evening/Night
Mischief,2025,1,25,3,19,5XX MAIN ST,Downtown,492743.2354,5458597.5916,January,Evening/Night
Mischief,2025,11,7,16,0,5XX MAIN ST,Strathcona,492751.8396,5458578.9727,November,Afternoon
Mischief,2025,11,19,15,50,5XX MAIN ST,Strathcona,492751.8396,5458578.9727,November,Afternoon
Mischief,2025,3,11,8,9,5XX MAIN ST,Strathcona,492752.4002,5458598.1029,March,Morning
Mischief,2025,1,23,20,15,5XX MAIN ST,Strathcona,492753.2377,5458626.8509,January,Evening/Night
Mischief,2025,10,17,9,24,5XX MAIN ST,Strathcona,492753.2377,5458626.8509,October,Morning
Mischief,2025,3,26,12,18,5XX N SLOCAN ST,Hastings-Sunrise,496410.7153,5459713.6018,March,Afternoon
Mischief,2025,7,18,12,0,5XX NANAIMO ST,Hastings-Sunrise,495891.7091,5458607.0638,July,Afternoon
Mischief,2025,6,2,0,30,5XX NELSON ST,Downtown,491159.1896,5458406.8001,June,Evening/Night
Mischief,2025,10,6,21,0,5XX NELSON ST,Downtown,491186.5775,5458365.7805,October,Evening/Night
Mischief,2025,2,28,23,19,5XX NICOLA ST,Downtown,490635.0094,5459718.0966,February,Evening/Night
Mischief,2025,10,16,20,45,5XX NICOLA ST,Downtown,490729.6737,5459820.8522,October,Evening/Night
Mischief,2025,6,20,9,0,5XX POWELL ST,Strathcona,493218.102,5458923.9355,June,Morning
Mischief,2025,9,27,18,47,5XX POWELL ST,Strathcona,493226.1023,5458923.6935,September,Evening/Night
Mischief,2025,12,8,16,8,5XX POWELL ST,Strathcona,493250.4395,5458922.9569,December,Afternoon
Mischief,2025,11,29,23,0,5XX PRIOR ST,Strathcona,493284.1951,5458218.6383,November,Evening/Night
Mischief,2025,10,21,10,0,5XX RICHARDS ST,Downtown,491697.5815,5458880.5877,October,Morning
Mischief,2025,3,26,17,0,5XX RICHARDS ST,Downtown,491699.7191,5458882.7355,March,Afternoon
Mischief,2025,1,8,0,0,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,January,Evening/Night
Mischief,2025,2,21,23,30,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,February,Evening/Night
Mischief,2025,3,26,18,50,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,March,Evening/Night
Mischief,2025,6,17,18,37,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,June,Evening/Night
Mischief,2025,7,27,21,6,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,July,Evening/Night
Mischief,2025,8,13,18,0,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,August,Evening/Night
Mischief,2025,10,27,19,11,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,October,Evening/Night
Mischief,2025,11,10,19,41,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,November,Evening/Night
Mischief,2025,11,28,0,0,5XX RICHARDS ST,Downtown,491714.714,5458884.8419,November,Evening/Night
Mischief,2025,8,17,10,15,6XX SEYMOUR ST,Downtown,491523.3861,5458829.1984,August,Morning
Mischief,2025,8,14,17,41,6XX SEYMOUR ST,Downtown,491583.6154,5458890.2439,August,Afternoon
Mischief,2025,5,30,19,22,6XX SEYMOUR ST,Downtown,491609.0732,5458916.0522,May,Evening/Night
Mischief,2025,11,14,21,9,6XX SEYMOUR ST,Downtown,491609.0732,5458916.0522,November,Evening/Night
Mischief,2025,11,15,0,15,6XX SEYMOUR ST,Downtown,491609.0732,5458916.0522,November,Evening/Night
Mischief,2025,11,28,21,10,6XX SEYMOUR ST,Downtown,491609.0732,5458916.0522,November,Evening/Night
Mischief,2025,3,16,15,0,6XX SLOCAN ST,Hastings-Sunrise,496415.959,5458481.2998,March,Afternoon
Mischief,2025,7,20,4,40,6XX SMITHE ST,Downtown,491235.1324,5458551.1733,July,Morning
Mischief,2025,3,18,2,45,6XX STAMPS LAND,Fairview,491414.6939,5457326.5415,March,Evening/Night
Mischief,2025,7,26,19,7,6XX SW MARINE DR,Marpole,491332.5744,5450722.2029,July,Evening/Night
Mischief,2025,12,14,0,0,6XX TERMINAL AVE,Strathcona,493352.3006,5457637.3207,December,Evening/Night
Mischief,2025,12,28,7,0,6XX TERMINAL AVE,Strathcona,493470.8999,5457579.2189,December,Morning
Mischief,2025,12,25,3,0,6XX UNION ST,Strathcona,493381.665,5458304.6711,December,Evening/Night
Mischief,2025,10,11,22,0,6XX UNION ST,Strathcona,493417.0211,5458303.6955,October,Evening/Night
Mischief,2025,4,22,8,30,6XX W 10TH AVE,Fairview,491437.1388,5456615.33,April,Morning
Mischief,2025,9,9,11,0,6XX W 12TH AVE,Fairview,491349.7796,5456423.2733,September,Morning
Mischief,2025,4,3,18,0,6XX W 16TH AVE,South Cambie,491401.4616,5456022.111,April,Evening/Night
Mischief,2025,6,14,20,0,6XX W 16TH AVE,Fairview,491401.7326,5456031.2527,June,Evening/Night
Mischief,2025,6,24,4,0,6XX W 26TH AVE,South Cambie,491299.5765,5455038.7307,June,Morning
Mischief,2025,5,18,8,1,6XX W 57TH AVE,Oakridge,491334.0683,5451822.0137,May,Morning
Mischief,2025,5,31,0,0,6XX W 70TH AVE,Marpole,491295.5549,5450606.4182,May,Evening/Night
Mischief,2025,5,7,21,30,6XX W 70TH AVE,Marpole,491313.4488,5450605.9065,May,Evening/Night
Mischief,2025,10,11,14,37,6XX W 7TH AVE,Fairview,491354.9797,5456922.2192,October,Afternoon
Mischief,2025,10,13,17,0,6XX W 7TH AVE,Fairview,491450.0805,5456919.0177,October,Afternoon
Mischief,2025,3,2,20,0,6XX W 8TH AVE,Fairview,491415.7008,5456826.8106,March,Evening/Night
Mischief,2025,3,1,15,53,6XX W BROADWAY AVE,Fairview,491441.1205,5456732.213,March,Afternoon
Mischief,2025,12,18,1,0,6XX W BROADWAY AVE,Fairview,491441.1205,5456732.213,December,Evening/Night
Mischief,2025,1,1,0,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Evening/Night
Mischief,2025,1,4,10,20,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Morning
Mischief,2025,1,8,9,20,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Morning
Mischief,2025,1,15,20,30,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Evening/Night
Mischief,2025,1,18,22,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Evening/Night
Mischief,2025,1,19,9,7,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Morning
Mischief,2025,1,31,0,50,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,January,Evening/Night
Mischief,2025,2,15,0,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,February,Evening/Night
Mischief,2025,2,21,12,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,February,Afternoon
Mischief,2025,3,3,20,45,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Evening/Night
Mischief,2025,3,9,16,30,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Afternoon
Mischief,2025,3,18,10,23,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Morning
Mischief,2025,3,19,5,25,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Morning
Mischief,2025,3,23,9,22,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Morning
Mischief,2025,3,25,13,46,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Afternoon
Mischief,2025,3,28,8,42,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,March,Morning
Mischief,2025,4,13,17,54,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,April,Afternoon
Mischief,2025,4,23,5,21,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,April,Morning
Mischief,2025,4,26,16,50,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,April,Afternoon
Mischief,2025,5,24,19,8,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,May,Evening/Night
Mischief,2025,5,26,15,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,May,Afternoon
Mischief,2025,6,10,2,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,June,Evening/Night
Mischief,2025,6,21,23,25,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,June,Evening/Night
Mischief,2025,7,4,0,15,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,July,Evening/Night
Mischief,2025,7,14,11,57,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,July,Morning
Mischief,2025,7,30,0,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,July,Evening/Night
Mischief,2025,7,31,1,8,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,July,Evening/Night
Mischief,2025,8,5,9,36,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,August,Morning
Mischief,2025,8,8,8,38,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,August,Morning
Mischief,2025,8,19,3,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,August,Evening/Night
Mischief,2025,9,4,2,48,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Evening/Night
Mischief,2025,9,6,4,14,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Morning
Mischief,2025,9,8,12,57,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Afternoon
Mischief,2025,9,11,2,20,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Evening/Night
Mischief,2025,9,22,10,21,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Morning
Mischief,2025,9,29,0,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Evening/Night
Mischief,2025,9,30,20,4,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,September,Evening/Night
Mischief,2025,10,4,11,41,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,October,Morning
Mischief,2025,10,10,21,7,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,October,Evening/Night
Mischief,2025,10,19,1,45,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,October,Evening/Night
Mischief,2025,11,3,21,1,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,November,Evening/Night
Mischief,2025,11,14,0,55,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,November,Evening/Night
Mischief,2025,11,26,3,43,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,November,Evening/Night
Mischief,2025,11,27,2,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,November,Evening/Night
Mischief,2025,12,1,0,0,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Evening/Night
Mischief,2025,12,1,1,25,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Evening/Night
Mischief,2025,12,8,5,24,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Morning
Mischief,2025,12,8,22,50,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Evening/Night
Mischief,2025,12,12,1,36,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Evening/Night
Mischief,2025,12,12,2,28,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Evening/Night
Mischief,2025,12,14,1,55,6XX W CORDOVA ST,Downtown,491865.2415,5459187.8455,December,Evening/Night
Mischief,2025,5,17,22,0,5XX TAYLOR ST,Downtown,492323.4808,5458662.465,May,Evening/Night
Mischief,2025,12,15,11,0,5XX THURLOW ST,Downtown,491231.8363,5459419.0096,December,Morning
Mischief,2025,11,15,18,0,5XX W 10TH AVE,Fairview,491598.4222,5456620.3531,November,Evening/Night
Mischief,2025,8,9,10,58,5XX W 12TH AVE,Fairview,491525.979,5456417.3884,August,Morning
Mischief,2025,1,9,18,47,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,January,Evening/Night
Mischief,2025,3,11,8,44,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,March,Morning
Mischief,2025,5,9,0,0,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,May,Evening/Night
Mischief,2025,5,16,7,50,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,May,Morning
Mischief,2025,5,19,15,23,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,May,Afternoon
Mischief,2025,5,23,15,11,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,May,Afternoon
Mischief,2025,6,29,15,2,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,June,Afternoon
Mischief,2025,7,23,13,3,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,July,Afternoon
Mischief,2025,8,2,12,52,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,August,Afternoon
Mischief,2025,9,1,15,30,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,September,Afternoon
Mischief,2025,11,25,16,0,5XX W 12TH AVE,Fairview,491526.3604,5456417.3795,November,Afternoon
Mischief,2025,3,24,21,27,5XX W 12TH AVE,Fairview,491618.9531,5456405.7419,March,Evening/Night
Mischief,2025,7,23,0,0,5XX W 13TH AVE,Fairview,491579.5439,5456310.1111,July,Evening/Night
Mischief,2025,11,20,0,0,5XX W 14TH AVE,Fairview,491586.2152,5456222.2467,November,Evening/Night
Mischief,2025,3,6,22,9,5XX W 16TH AVE,Fairview,491453.7812,5456030.2656,March,Evening/Night
